Y_GENERAL;Y_AXE;Y_DATECOMPTABLE;Y_NUMEROPIECE;Y_NUMLIGNE;Y_SECTION;Y_EXERCICE;Y_DEBIT;Y_CREDIT;Y_REFINTERNE;Y_LIBELLE;Y_NATUREPIECE;Y_QUALIFPIECE;Y_TYPEANALYTIQUE;Y_VALIDE;Y_ETAT;Y_REFEXTERNE;Y_DATEREFEXTERNE;Y_UTILISATEUR;Y_CONTROLEUR;Y_DATECREATION;Y_DATEMODIF;Y_SOCIETE;Y_ETABLISSEMENT;Y_BLOCNOTE;Y_VISION;Y_AFFAIRE;Y_REFLIBRE;Y_DEVISE;Y_DEBITDEV;Y_CREDITDEV;Y_TAUXDEV;Y_DATETAUXDEV;Y_POURCENTAGE;Y_TOTALECRITURE;Y_CONTROLE;Y_TRACE;Y_QTE1;Y_QTE2;Y_QUALIFQTE1;Y_QUALIFQTE2;Y_JOURNAL;Y_NUMVENTIL;Y_POURCENTQTE1;Y_POURCENTQTE2;Y_TOTALDEVISE;Y_TOTALQTE1;Y_TOTALQTE2;Y_TYPEANOUVEAU;Y_TYPEMVT;Y_QUALIFECRQTE1;Y_QUALIFECRQTE2;Y_ECRANOUVEAU;Y_CONFIDENTIEL;Y_CREERPAR;Y_EXPORTE;Y_LIBRETEXTE0;Y_LIBRETEXTE1;Y_LIBRETEXTE2;Y_LIBRETEXTE3;Y_LIBRETEXTE4;Y_LIBRETEXTE5;Y_LIBRETEXTE6;Y_LIBRETEXTE7;Y_LIBRETEXTE8;Y_LIBRETEXTE9;Y_TABLE0;Y_TABLE1;Y_LIBREDATE;Y_LIBREBOOL0;Y_LIBREBOOL1;Y_CONSO;Y_LIBREMONTANT0;Y_LIBREMONTANT1;Y_LIBREMONTANT2;Y_LIBREMONTANT3;Y_TABLE2;Y_TABLE3;Y_CONTREPARTIEGEN;Y_CONTREPARTIEAUX;Y_AUXILIAIRE;Y_PERIODE;Y_SEMAINE;Y_SOUSPLAN1;Y_SOUSPLAN2;Y_SOUSPLAN3;Y_SOUSPLAN4;Y_SOUSPLAN5;Y_SOUSPLAN6;Y_ENTITY;Y_DATPER;Y_REFGUID
62620000;A1 ;2019-01-01T00:00:00.0000000;1;2;900000;002;1,0000;0,0000;QBD-338914;OVH;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:14.0000000;001;001;;-;;;EUR;1,0000;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;1,0000;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;1,0000;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;1;;;;;;;0;1900-01-01T00:00:00.0000000;3B0433C7-41A5-4AA1-AB47-08B3D26AC564
62620000;A1 ;2019-01-01T00:00:00.0000000;1;6;900000;002;119,8800;0,0000;QBD-400473;OVH;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:14.0000000;001;001;;-;;;EUR;119,8800;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;119,8800;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;119,8800;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;1;;;;;;;0;1900-01-01T00:00:00.0000000;1EC8401F-DFDA-4393-9ECD-DE68776838CC
62620000;A1 ;2019-01-01T00:00:00.0000000;1;7;900000;002;35,8800;0,0000;QBD-440634;OVH;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:14.0000000;001;001;;-;;;EUR;35,8800;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;35,8800;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;35,8800;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;1;;;;;;;0;1900-01-01T00:00:00.0000000;B420BBB7-7D1A-45C1-849E-72C94DD25A39
62560000;A1 ;2019-01-02T00:00:00.0000000;1;11;900000;002;30,7300;0,0000;QBD-157152;Missions (repas, restaurants,;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:15.0000000;001;001;;-;;;EUR;30,7300;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;30,7300;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;30,7300;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;1;;;;;;;0;1900-01-01T00:00:00.0000000;1D076CAD-B6A7-4D16-934E-D03176A766E7
61351200;A1 ;2019-01-02T00:00:00.0000000;1;14;900000;002;156,9500;0,0000;QBD-653888;ONLINE;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:15.0000000;001;001;;-;;;EUR;156,9500;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;156,9500;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;156,9500;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;1;;;;;;;0;1900-01-01T00:00:00.0000000;2B25FAE2-B9F7-4C73-9182-35BE8E36EEC5
62270000;A1 ;2019-01-02T00:00:00.0000000;1;16;900000;002;222,9100;0,0000;QBD-961937;JURIS KLEBER;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:15.0000000;001;001;;-;;;EUR;222,9100;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;222,9100;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;222,9100;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;1;;;;;;;0;1900-01-01T00:00:00.0000000;1B8550BB-7C01-4125-9AD3-5C66968714C5
61351100;A1 ;2019-01-06T00:00:00.0000000;1;19;900000;002;22,5000;0,0000;QBD-203651;SLACK;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:21.0000000;001;001;;-;;;EUR;22,5000;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;22,5000;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;22,5000;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;1;;;;;;;0;1900-01-01T00:00:00.0000000;F7ADAF84-A0E2-46B7-A638-1F4C94F34209
62510000;A1 ;2019-01-06T00:00:00.0000000;1;22;900000;002;104,0000;0,0000;QBD-402369;EUROSTAR;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:21.0000000;001;001;;-;;;EUR;104,0000;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;104,0000;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;104,0000;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;1;;;;;;;0;1900-01-01T00:00:00.0000000;4B9BBFCA-8EE1-424F-B235-EB54916A8C23
62560000;A1 ;2019-01-09T00:00:00.0000000;1;24;900000;002;79,9200;0,0000;QBD-167852;Missions (repas, restaurants,;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:23.0000000;001;001;;-;;;EUR;79,9200;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;79,9200;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;79,9200;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;2;;;;;;;0;1900-01-01T00:00:00.0000000;595FD46C-6486-4112-B4FE-76707452987A
62620000;A1 ;2019-01-09T00:00:00.0000000;1;26;900000;002;69,9900;0,0000;QBD-234210;OVH;OD ;N  ;-;X;0000000000;;1900-01-01T00:00:00.0000000;DA1;;2021-05-11T00:00:00.0000000;2021-05-11T10:27:23.0000000;001;001;;-;;;EUR;69,9900;0,0000;1,0000;2021-05-11T00:00:00.0000000;100,0000;69,9900;-;;0,0000;0,0000;...;...;AC ;1;0,0000;0,0000;69,9900;0,0000;0,0000;;DIV;;;N  ;0;EXP;---;;;;;;;;;;;;;1900-01-01T00:00:00.0000000;-;-;;0,0000;0,0000;0,0000;0,0000;;;;;;201901;2;;;;;;;0;1900-01-01T00:00:00.0000000;25920E1D-23D3-43B2-9C0F-B93107C87CFC
