T_AUXILIAIRE;T_NATUREAUXI;T_LIBELLE;T_EAN;T_COLLECTIF;T_ABREGE;T_COMMENTAIRE;T_ADRESSE1;T_ADRESSE2;T_ADRESSE3;T_CODEPOSTAL;T_VILLE;T_DIVTERRIT;T_PAYS;T_LANGUE;T_DEVISE;T_MULTIDEVISE;T_NIF;T_SIRET;T_APE;T_TELEPHONE;T_FAX;T_TELEX;T_TELEPHONE2;T_FACTURE;T_PAYEUR;T_APPORTEUR;T_TRANSPORTEUR;T_COEFCOMMA;T_SECTEUR;T_ZONECOM;T_REPRESENTANT;T_TARIFTIERS;T_REMISE;T_FRANCO;T_ESCOMPTE;T_QUALIFESCOMPTE;T_MODEREGLE;T_JOURPAIEMENT1;T_JOURPAIEMENT2;T_FACTUREHT;T_REGIMETVA;T_SOUMISTPF;T_LETTRABLE;T_CORRESP1;T_CORRESP2;T_TOTALDEBIT;T_TOTALCREDIT;T_DATECREATION;T_DATEMODIF;T_DATEOUVERTURE;T_DATEFERMETURE;T_FERME;T_DATEDERNMVT;T_DEBITDERNMVT;T_CREDITDERNMVT;T_NUMDERNMVT;T_LIGNEDERNMVT;T_CONFIDENTIEL;T_SOLDEPROGRESSIF;T_SAUTPAGE;T_TOTAUXMENSUELS;T_COUTHORAIRE;T_SOCIETE;T_RELANCEREGLEMENT;T_RELANCETRAITE;T_RESIDENTETRANGER;T_NATUREECONOMIQUE;T_MOTIFVIREMENT;T_LETTREPAIEMENT;T_RELEVEFACTURE;T_FREQRELEVE;T_JOURRELEVE;T_UTILISATEUR;T_RVA;T_EMAIL;T_DERNLETTRAGE;T_JURIDIQUE;T_FORMEJURIDIQUE;T_PROFIL;T_TVAENCAISSEMENT;T_TOTDEBP;T_TOTCREP;T_TOTDEBE;T_TOTCREE;T_TOTDEBS;T_TOTCRES;T_TOTDEBANO;T_TOTCREANO;T_TOTDEBANON1;T_TOTCREANON1;T_DATEDERNRELEVE;T_SCORERELANCE;T_CREERPAR;T_EXPORTE;T_SCORECLIENT;T_PAYEURECLATEMENT;T_DATEDERNPIECE;T_NUMDERNPIECE;T_TOTDERNPIECE;T_TABLE0;T_TABLE1;T_TABLE2;T_TABLE3;T_TABLE4;T_TABLE5;T_TABLE6;T_TABLE7;T_TABLE8;T_TABLE9;T_CONSO;T_CREDITDEMANDE;T_CREDITACCORDE;T_DOSSIERCREDIT;T_DATECREDITDEB;T_DATECREDITFIN;T_CREDITPLAFOND;T_DATEPLAFONDDEB;T_DATEPLAFONDFIN;T_NIVEAURISQUE;T_AVOIRRBT;T_ISPAYEUR;T_CODEIMPORT;T_TIERS;T_NATIONALITE;T_PRENOM;T_JOURNAISSANCE;T_MOISNAISSANCE;T_ANNEENAISSANCE;T_COMPTATIERS;T_DEBRAYEPAYEUR;T_MOISCLOTURE;T_EURODEFAUT;T_PARTICULIER;T_SEXE;T_PASSWINTERNET;T_PRESCRIPTEUR;T_PUBLIPOSTAGE;T_ORIGINETIERS;T_SOCIETEGROUPE;T_PHONETIQUE;T_DATEPROCLI;T_ETATRISQUE;T_DOMAINE;T_DATEINTEGR;T_NIVEAUIMPORTANCE;T_CLETELEPHONE;T_ENSEIGNE;T_EMAILING;T_REGION;T_DELAIMOYEN;T_BLOCNOTE;T_CLIENTINTERNE
01000000;CLI;Clients divers;;41100000;Clients divers;;;;;;;;;;EUR;X;;;;;;;;01000000;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;0,0000;0,0000;2021-05-06T00:00:00.0000000;2021-05-10T15:14:32.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;1900-01-01T00:00:00.0000000;0,0000;0,0000;0;0;0;X;-;-;0,0000;001;;;;;;;-;;0;DA1;;;;;;;TM ;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;COM;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;01000000;01000000;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
01ANRT00;CLI;ASSOC NAT RECHERCHE TECHNO;;41100000;VIR SEPA RECU /FR;;;;;;;;;;;X;;;;;;;;;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;10500,0000;7000,0000;2021-07-05T00:00:00.0000000;2021-07-09T14:44:50.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;2021-06-30T00:00:00.0000000;0,0000;3500,0000;2;92;0;X;-;-;0,0000;001;;;;;;;-;;0;XTR;;;AAAA;;;;TM ;0,0000;0,0000;10500,0000;7000,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;SAI;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;;01ANRT00;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
01AUXI00;CLI;Auxiga Group International - P;;41100000;Auxiga Group Inte;;;;;;;;;;;X;;;;;;;;;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;0,0000;0,0000;2021-05-05T00:00:00.0000000;2021-05-10T15:14:32.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;1900-01-01T00:00:00.0000000;0,0000;0,0000;0;0;0;X;-;-;0,0000;001;;;;;;;-;;0;DA1;;;;;;;TM ;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;SAI;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;;01AUXI;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
01AUXIGA;CLI;AUXIGA GROUP INTERNATIONAL;;41100000;Auxiga Group Inte;;;;;;;;;;EUR;X;;;;;;;;01AUXIGA;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;3240,0000;3240,0000;2021-05-10T00:00:00.0000000;2021-05-12T11:26:21.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;2021-01-01T00:00:00.0000000;-1620,0000;0,0000;1;7;0;X;-;-;0,0000;001;;;;;;;-;;0;DA1;;;AAAC;;;;TM ;1620,0000;1620,0000;3240,0000;3240,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;SAI;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;01AUXIGA;01AUXIGA;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
01CERB00;CLI;CERBALLIANCE PARIS ET IDF EST;;41100000;CERBALLIANCE PARI;;;;;;;;;;;X;;;;;;;;;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;0,0000;0,0000;2021-05-05T00:00:00.0000000;2021-05-10T15:14:32.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;1900-01-01T00:00:00.0000000;0,0000;0,0000;0;0;0;X;-;-;0,0000;001;;;;;;;-;;0;DA1;;;;;;;TM ;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;SAI;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;;01CERB;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
01CERBAL;CLI;CERB ALLIANCE PARIS;;41100000;CERBALLIANCE PARI;;;;;;;;;;EUR;X;;;;;;;;01CERBAL;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;27485,1400;17198,5000;2021-05-10T00:00:00.0000000;2021-05-12T11:26:21.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;2021-06-01T00:00:00.0000000;-2630,5400;0,0000;2;4;0;X;-;-;0,0000;001;;;;;;;-;;0;DA1;;;AAAJ;;;;TM ;12600,0000;6300,0000;27485,1400;17198,5000;0,0000;0,0000;6300,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;SAI;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;01CERBAL;01CERBAL;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
01DPDF00;CLI;DPD FRANCE;;41100000;DPD FRANCE;;;;;;;;;;;X;;;;;;;;;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;0,0000;0,0000;2021-05-06T00:00:00.0000000;2021-05-10T15:14:32.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;1900-01-01T00:00:00.0000000;0,0000;0,0000;0;0;0;X;-;-;0,0000;001;;;;;;;-;;0;DA1;;;;;;;TM ;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;SAI;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;;01DPDF;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
01DPDFR0;CLI;DPD FRANCE;;41100000;DPD FRANCE;;;;;;;;;;EUR;X;;;;;;;;01DPDFR0;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;61200,0000;37200,0000;2021-05-10T00:00:00.0000000;2021-05-12T11:26:21.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;2021-05-03T00:00:00.0000000;-6000,0000;0,0000;5;4;0;X;-;-;0,0000;001;;;;;;;-;;0;DA1;;;AAAC;;;;TM ;0,0000;0,0000;61200,0000;37200,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;SAI;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;01DPDFR;01DPDFR0;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
01EUROF0;CLI;EUROFINS;;41100000;EUROFINS;;;;;;;;;;;X;;;;;;;;;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;5400,0000;0,0000;2021-08-22T00:00:00.0000000;2021-08-23T15:18:36.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;1900-01-01T00:00:00.0000000;0,0000;0,0000;0;0;0;X;-;-;0,0000;001;;;;;;;-;;0;DA1;;;;;;;TM ;0,0000;0,0000;5400,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;SAI;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;;01EUROF0;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
01GEO000;CLI;GEODIS DIVISION MESSAGERIE;;41100000;GEODIS DIVISION M;;;;;;;;;;EUR;X;;;;;;;;01GEO000;;;;0,0000;;;;;0,0000;0,0000;0,0000;;001;0;0;-;FRA;-;X;;;14100,0000;0,0000;2021-05-05T00:00:00.0000000;2021-05-12T11:26:21.0000000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;-;1900-01-01T00:00:00.0000000;0,0000;0,0000;0;0;0;X;-;-;0,0000;001;;;;;;;-;;0;DA1;;;AAAA;;;;TM ;33000,0000;33000,0000;14100,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1900-01-01T00:00:00.0000000;0;SAI;---;0;-;1900-01-01T00:00:00.0000000;0;0,0000;;;;;;;;;;;;0,0000;0,0000;;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;0,0000;1900-01-01T00:00:00.0000000;1900-01-01T00:00:00.0000000;;-;-;01GEO;01GEO0;;;0;0;0;;-;0;-;-;;;;-;;;;1900-01-01T00:00:00.0000000;;;1900-01-01T00:00:00.0000000;;;;-;;0;;-
